archivo_origen,anio,tipo_violencia_archivo,usuario,fecha,anio_publicacion,anio_mencionado,texto_original,texto_limpio,tipo_contenido,nivel_confianza,lugar_detectado,municipio_alcaldia,estado,nivel_ubicacion,violencia_mujer,es_basura,motivo_basura
violenciapsicologica2024.txt,2024,violencia psicológica,@xeunoticias,"Mar 7, 2024",2024,2024,"XEU Noticias
@xeunoticias
·
Mar 7, 2024
Violencia psicológica es la que más se presenta en las universidades: Unión Mujer https://bit.ly/3Iv3F4F #Mexico 📰",xeu noticias mar 7 2024 violencia psicologica es la que mas se presenta en las universidades union mujer mexico,otro,0.2,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@EjeCentral,"Dec 4, 2024",2024,2024,"EjeCentral
@EjeCentral
·
Dec 4, 2024
Erradicación de la violencia contra la mujer | El 70.1% de las #mujeres en #México ha sufrido violencia en algún ámbito a lo largo de su vida: la violencia psicológica (51.6%) y sexual (49.7%) son las más prevalentes https://ejecentral.com.mx/nuestro-eje/la-violencia-contra-las-mujeres-en-mexico-una-realidad-que-no-puede-ser-ignorada
Image",ejecentral dec 4 2024 erradicacion de la violencia contra la mujer el 70 1 de las mujeres en mexico ha sufrido violencia en algun ambito a lo largo de su vida la violencia psicologica 51 6 y sexual 49 7 son las mas prevalentes,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@centro_progreso,"La ENDIREH 2021 estima que, en el Estado de México, 78.7% de las mujeres de 15 años o más, experimentaron algún tipo de violencia: Psicológica, Física, Sexual, Económica o Patrimonial a lo largo de la vida y 47.6% en los últimos 12 meses.",2024,2024,"Centro de Maestros de San Felipe del Progreso
@centro_progreso
·
May 14, 2024
La ENDIREH 2021 estima que, en el Estado de México, 78.7% de las mujeres de 15 años o más, experimentaron algún tipo de violencia: Psicológica, Física, Sexual, Económica o Patrimonial a lo largo de la vida y 47.6% en los últimos 12 meses.",centro de maestros de san felipe del progreso may 14 2024 la endireh 2021 estima que en el estado de mexico 78 7 de las mujeres de 15 anos o mas experimentaron algun tipo de violencia psicologica fisica sexual economica o patrimonial a lo largo de la vida y 47 6 en los ultimos 12 meses,estadistica,0.95,estado de mexico,,Estado de México,estado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@ParaleloMexico,"Feb 12, 2024",2024,2024,"Paralelo.news
@ParaleloMexico
·
Feb 12, 2024
De acuerdo al Instituto Nacional de Estadística y Geografía, la violencia física y la violencia psicológica son las más reportadas por las mujeres que acuden a estas unidades a pedir ayuda",paralelo news feb 12 2024 de acuerdo al instituto nacional de estadistica y geografia la violencia fisica y la violencia psicologica son las mas reportadas por las mujeres que acuden a estas unidades a pedir ayuda,estadistica,0.95,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,https://paralelo.news/2024/02/09/mas-del-50-de-mujeres-que-van-a-refugios-reportan-violencia/,2024,,https://paralelo.news/2024/02/09/mas-del-50-de-mujeres-que-van-a-refugios-reportan-violencia/,,otro,0.2,,,Nacional,no_detectado,incierto,si,texto_vacio_o_muy_corto
violenciapsicologica2024.txt,2024,violencia psicológica,@TeletonMexico,"Mar 11, 2024",2024,2024,"Teletón México
@TeletonMexico
·
Mar 11, 2024
El 72,6% de las mujeres y niñas con discapacidad en México han sufrido violencia al menos una vez en su vida.",teleton mexico mar 11 2024 el 72 6 de las mujeres y ninas con discapacidad en mexico han sufrido violencia al menos una vez en su vida,institucional,0.8,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,,2024,,"La encuesta contempla cinco categorías de violencia: psicológica, física, sexual, económica y patrimonial, que en el último caso se refiere a cualquier acto u omisión
Show more
Quote",la encuesta contempla cinco categorias de violencia psicologica fisica sexual economica y patrimonial que en el ultimo caso se refiere a cualquier acto u omision,estadistica,0.95,,,Nacional,no_detectado,incierto,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@TeletonMexico,"Según la Encuesta Nacional sobre la Dinámica de las Relaciones en los Hogares (2021), ¿qué cantidad de mujeres y niñas con discapacidad han sido víctimas violencia?",2024,2024,"Teletón México
@TeletonMexico
·
Mar 7, 2024
Según la Encuesta Nacional sobre la Dinámica de las Relaciones en los Hogares (2021), ¿qué cantidad de mujeres y niñas con discapacidad han sido víctimas violencia?
Show this poll",teleton mexico mar 7 2024 segun la encuesta nacional sobre la dinamica de las relaciones en los hogares 2021 que cantidad de mujeres y ninas con discapacidad han sido victimas violencia show this poll,estadistica,0.95,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@Notigram,"Nov 25, 2024",2024,2024,"Notigram
@Notigram
·
Nov 25, 2024
80% de las mujeres sufren violencia psicológica en completo silencio. 👇",notigram nov 25 2024 80 de las mujeres sufren violencia psicologica en completo silencio,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,https://notigram.com/mexico/nacional/siete-de-cada-10-mujeres-son-victimas-de-violencia-en-mexico-20241125-1372030,2024,,https://notigram.com/mexico/nacional/siete-de-cada-10-mujeres-son-victimas-de-violencia-en-mexico-20241125-1372030,,otro,0.2,,,Nacional,no_detectado,incierto,si,texto_vacio_o_muy_corto
