archivo_origen,codigo_indicador,nombre_indicador,categoria_indicador,ambito,agresor,periodo_medicion,poblacion_objetivo,entidad,anio,valor,unidad,fecha_referencia
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Durango,2011,35.33,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Guanajuato,2011,39.42,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Guerrero,2011,32.95,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Hidalgo,2011,32.83,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Jalisco,2011,41.94,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Estado de México,2011,52.55,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Michoacán de Ocampo,2011,38.48,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Morelos,2011,39.85,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Nayarit,2011,39.19,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Nuevo León,2011,40.16,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Oaxaca,2011,34.61,porcentaje,2011-01-01
